volcano_number;volcano_name;primary_volcano_type;last_eruption_year;country;region;subregion;latitude;longitude;elevation;tectonic_settings;evidence_category;major_rock_1;major_rock_2;major_rock_3;major_rock_4;major_rock_5;minor_rock_1;minor_rock_2;minor_rock_3;minor_rock_4;minor_rock_5;population_within_5_km;population_within_10_km;population_within_30_km;population_within_100_km
357061;Maule, Laguna del;caldera;-50;Chile;South America;Central Chile and Argentina;-36.058;-70.492;2162;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Rhyolite;Basalt / Picro-Basalt;Dacite; ; ; ; ; ;NA;1045;1045;1521;169334
332030;Mauna Kea;shield;-2460;United States;Hawaii and Pacific Ocean;Hawaiian Islands;19.82;-155.47;4205;Intraplate / Oceanic crust (< 15 km);Eruption Dated;Basalt / Picro-Basalt;Trachyandesite / Basaltic Trachyandesite;Trachybasalt / Tephrite Basanite; ; ; ; ; ; ;NA;126;126;9950;166888
332020;Mauna Loa;shield;1984;United States;Hawaii and Pacific Ocean;Hawaiian Islands;19.475;-155.608;4170;Intraplate / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;45;45;1906;175315
241021;Mayor Island;shield;-5060;New Zealand;New Zealand to Fiji;New Zealand;-37.28;176.25;355;Subduction zone / Continental crust (>25 km);Eruption Dated;Rhyolite; ; ; ; ; ; ; ; ;NA;105;105;141;355290
320180;Meager;complex;-410;Canada;Canada and Western USA;Canada;50.63;-123.5;2680;Subduction zone / Continental crust (>25 km);Eruption Dated;Dacite;Andesite / Basaltic Andesite; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;1;111;307;17662
323020;Medicine Lake;shield;1060;United States;Canada and Western USA;USA (California);41.611;-121.554;2412;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;Andesite / Basaltic Andesite;Rhyolite; ; ;Dacite; ; ; ;NA;0;0;254;120685
221330;Mega Basalt Field;pyroclasticcone;Unknown;Ethiopia-Kenya;Africa and Red Sea;Africa (northeastern) and Red Sea;4.063;37.488;1111;Rift zone / Intermediate crust (15-25 km);Evidence Credible;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;2815;2815;7605;119999
283262;Megata;maar;-2050;Japan;Japan, Taiwan, Marianas;Honshu;39.95;139.73;291;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Dacite;Rhyolite; ; ; ; ; ;NA;1854;3577;81218;1205440
225050;Meidob Volcanic Field;pyroclasticcone;-2950;Sudan;Africa and Red Sea;Africa (northern);15.32;26.47;2000;Intraplate / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;Basalt / Picro-Basalt; ; ; ;Phonolite;Trachyte / Trachydacite;Trachyandesite / Basaltic Trachyandesite; ;NA;5140;5140;5140;24193
390015;Melbourne;stratovolcano;1892;Antarctica;Antarctica;Antarctica and South Sandwich Islands;-74.35;164.7;2732;Intraplate / Continental crust (>25 km);Eruption Dated;Trachyte / Trachydacite;Trachyandesite / Basaltic Trachyandesite;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite; ;Rhyolite; ; ; ;NA;0;0;0;0
263250;Merapi;stratovolcano;2020;Indonesia;Indonesia;Java;-7.54;110.446;2910;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Trachyandesite / Basaltic Trachyandesite; ; ; ;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite; ; ;NA;49205;185849;4348473;24728414
263240;Merbabu;stratovolcano;1797;Indonesia;Indonesia;Java;-7.454;110.44;3118;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;Trachyandesite / Basaltic Trachyandesite;Andesite / Basaltic Andesite; ; ; ; ; ; ;NA;19996;249747;3019783;25096234
222160;Meru;stratovolcano;1910;Tanzania;Africa and Red Sea;Africa (eastern);-3.25;36.75;4565;Rift zone / Continental crust (>25 km);Eruption Observed;Phonolite;Foidite;Phono-tephrite /  Tephri-phonolite;Trachyte / Trachydacite;Basalt / Picro-Basalt; ; ; ; ;NA;0;2506;828942;2375631
212020;Methana;lavadome;-258;Greece;Mediterranean and Western Asia;Greece;37.615;23.336;760;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;152;1683;48917;4220783
358040;Michinmahuida;stratovolcano;1835;Chile;South America;Southern Chile and Argentina;-42.799;-72.445;2452;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Rhyolite; ; ; ; ; ; ;NA;0;9;7989;64498
341060;Michoacan-Guanajuato;pyroclasticcone;1952;Mexico;México and Central America;Mexico;19.85;-101.75;3860;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ;Trachyandesite / Basaltic Trachyandesite;Trachybasalt / Tephrite Basanite;Dacite; ;NA;5783287;5783287;5783287;5783287
283080;Midagahara;stratovolcano;1839;Japan;Japan, Taiwan, Marianas;Honshu;36.571;137.59;2621;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;401;521;143935;4455560
284041;Mikurajima;stratovolcano;-4100;Japan;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;33.874;139.602;851;Subduction zone / Oceanic crust (< 15 km);Eruption Dated;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;293;293;4551;25466
320120;Milbanke Sound Group;pyroclasticcone;Unknown;Canada;Canada and Western USA;Canada;52.5;-128.73;335;Intraplate / Continental crust (>25 km);Evidence Credible;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;574;574;574;2792
290161;Milna;stratovolcano;1914;Russia;Kuril Islands;Kuril Islands;46.815;151.786;1504;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;43;47;49;188
212030;Milos;stratovolcano;140;Greece;Mediterranean and Western Asia;Greece;36.699;24.439;751;Subduction zone / Continental crust (>25 km);Eruption Dated;Rhyolite;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ;NA;6688;7389;9851;73100
284131;Minami-Hiyoshi;submarine;1975;Japan;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;23.5;141.935;-107;Subduction zone / Crustal thickness unknown;Eruption Observed;Trachyandesite / Basaltic Trachyandesite; ; ; ; ; ; ; ; ;NA;0;0;0;26
345030;Miravalles;stratovolcano;1946;Costa Rica;México and Central America;Costa Rica;10.748;-85.153;2028;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Rhyolite;Dacite;Basalt / Picro-Basalt; ; ; ; ; ;NA;79;7492;61875;757945
284040;Miyakejima;stratovolcano;2010;Japan;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;34.094;139.526;775;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;1848;3189;3474;95663
357130;Mocho-Choshuenco;stratovolcano;1937;Chile;South America;Central Chile and Argentina;-39.927;-72.027;2422;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;81;789;16633;401631
311111;Moffett;stratovolcano;-1600;United States;Alaska;Aleutian Islands;51.944;-176.747;1196;Subduction zone / Intermediate crust (15-25 km);Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;0;0;0;0
352005;Mojanda;stratovolcano;Unknown;Ecuador;South America;Ecuador;0.13;-78.27;4263;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Andesite / Basaltic Andesite;Dacite;Rhyolite; ; ; ; ; ; ;NA;173;15510;480382;3071030
344110;Mombacho;stratovolcano;Unknown;Nicaragua;México and Central America;Nicaragua;11.826;-85.968;1344;Subduction zone / Continental crust (>25 km);Unrest / Holocene;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;656;56671;621451;2709304
